Hiperparametros,F1_Score_Mean,F1_Score_Std,Accuracy_Mean,Recall_Mean,Precision_Mean
k=15,0.92777,0.011,0.93026,0.93026,0.93036
k=9,0.92619,0.00792,0.92837,0.92837,0.92767
k=11,0.926,0.01085,0.92838,0.92838,0.92756
k=5,0.92524,0.00814,0.92754,0.92754,0.92588
k=21,0.92433,0.0112,0.92712,0.92712,0.92728
k=7,0.92379,0.00914,0.92628,0.92628,0.92556
k=25,0.92007,0.00978,0.92314,0.92314,0.92299
k=3,0.91956,0.01092,0.92167,0.92167,0.92001
