Hiperparametros,F1_Score_Mean,F1_Score_Std,Accuracy_Mean,Recall_Mean,Precision_Mean
max_depth=10,0.92631,0.01053,0.92692,0.92692,0.92677
max_depth=12,0.9258,0.00845,0.92629,0.92629,0.92595
max_depth=7,0.92503,0.00617,0.92545,0.92545,0.92609
max_depth=15,0.92276,0.00922,0.92315,0.92315,0.92344
max_depth=20,0.92256,0.00928,0.92294,0.92294,0.92324
max_depth=25,0.92255,0.00926,0.92294,0.92294,0.92319
max_depth=5,0.91453,0.00967,0.91582,0.91582,0.91823
max_depth=3,0.89375,0.0101,0.89697,0.89697,0.89919
